Species,Color_1,Color_2,Color_3
Downy Woodpecker,#000000,#FFFFFF,#FF0000
Pileated Woodpecker,#000000,#FFFFFF,#FF0000
Northern Flicker,#D2B48C,#000000,#FF4500
American Crow,#000000,#080808,#121212
Black-capped Chickadee,#000000,#FFFFFF,#808080
Chestnut-backed Chickadee,#8B4513,#808080,#FFFFFF
Tree Swallow,#0000FF,#FFFFFF,#000000
Violet-green Swallow,#006400,#FFFFFF,#4B0082
Bushtit,#808080,#D3D3D3,#F5F5DC
Ruby-crowned Kinglet,#556B2F,#FFFFFF,#FF0000
Golden-crowned Kinglet,#556B2F,#FFFF00,#FF4500
Marsh Wren,#8B4513,#F5F5DC,#000000
Bewick's Wren,#8B7355,#FFFFFF,#A9A9A9
European Starling,#000000,#4B0082,#006400
American Robin,#8B4513,#FF4500,#708090
House Sparrow,#8B4513,#808080,#000000
House Finch,#A52A2A,#8B4513,#F5F5DC
American Goldfinch,#FFFF00,#000000,#FFFFFF
Dark-eyed Junco,#4F4F4F,#FFFFFF,#8B4513
White-crowned Sparrow,#808080,#000000,#FFFFFF
Golden-crowned Sparrow,#808080,#FFFF00,#000000
Savannah Sparrow,#8B7355,#F5F5DC,#FFFF00
Song Sparrow,#8B4513,#D3D3D3,#4B3621
Spotted Towhee,#000000,#FF4500,#FFFFFF
Red-winged Blackbird,#000000,#FF0000,#FFFF00
Yellow-rumped Warbler,#808080,#FFFF00,#FFFFFF
