State/Province,Common Name,Position
US-WA,Rhinoceros Auklet,131
US-WA,Marbled Murrelet,132
US-WA,Common Murre,133
US-WA,Red Crossbill,134
US-WA,Black Turnstone,135
US-WA,Spotted Sandpiper,136
US-WA,Common Loon,137
US-WA,Northern Rough-winged Swallow,138
US-WA,Barred Owl,139
US-WA,Long-tailed Duck,140
US-WA,Short-billed Dowitcher,141
US-WA,Surfbird,142
US-WA,Sanderling,143
US-WA,Western Grebe,144
US-WA,Brandt's Cormorant,145
US-WA,Purple Finch,146
US-WA,Rufous Hummingbird,147
US-WA,Red-throated Loon,148
US-WA,Least Sandpiper,149
US-WA,Western Sandpiper,150
US-WA,Purple Martin,151
US-WA,Common Yellowthroat,152
US-WA,Short-billed/Long-billed Dowitcher,153
US-WA,Turkey Vulture,154
US-WA,Greater White-fronted Goose,155
US-WA,Cliff Swallow,156
US-WA,Cackling Goose,157
US-WA,Semipalmated Plover,158
US-WA,Red Knot,159
US-WA,Marbled Godwit,160
US-WA,Brown Pelican,161
US-WA,Blue-winged Teal,162
US-WA,Ruddy Turnstone,163
US-WA,Western Gull,164
US-WA,Bonaparte's Gull,165
US-WA,Great Egret,166
US-WA,Peregrine Falcon,167
US-WA,Snowy Plover,168
US-WA,Western Flycatcher,169
US-WA,Wilson's Warbler,170
US-WA,American Bittern,171
US-WA,Virginia Rail,172
US-WA,Northern Yellow Warbler,173
US-WA,Vaux's Swift,174
US-WA,swallow sp.,175
US-WA,Cedar Waxwing,176
US-WA,Domestic goose sp. (Domestic type),177
US-WA,Western Wood-Pewee,178
US-WA,Western Warbling Vireo,179
US-WA,Chipping Sparrow,180
US-WA,Western Kingbird,181
US-WA,Bullock's Oriole,182
US-WA,Lazuli Bunting,183
US-WA,Willow Flycatcher,184
US-WA,Tufted Puffin,185
US-WA,Horned Puffin,186
US-WA,Red-breasted Sapsucker,187
US-WA,Western Tanager,188
US-WA,Rock Wren,189
US-WA,Swainson's Thrush,190
US-WA,Bank Swallow,191
US-WA,Black-headed Grosbeak,192
US-WA,American Dipper,193
US-WA,Canada Jay,194
US-WA,hummingbird sp.,195
US-WA,Clark's Nutcracker,196
US-WA,Mountain Chickadee,197
US-WA,Pine Siskin,198
US-WA,Hermit Thrush,199
US-WA,Heermann's Gull,200
US-WA,Olive-sided Flycatcher,201
US-WA,MacGillivray's Warbler,202
US-WA,Wandering Tattler,203
US-CA,Ring-billed Gull,1
US-CA,American Robin,2
US-CA,Cedar Waxwing,3
US-CA,Lesser Goldfinch,4
US-CA,Brewer's Blackbird,5
US-CA,Rock Pigeon (Feral Pigeon),6
US-CA,Anna's Hummingbird,7
US-CA,Black Oystercatcher,8
US-CA,Western Gull,9
US-CA,gull sp.,10
US-CA,Caspian Tern,11
US-CA,Double-crested Cormorant,12
US-CA,Black-crowned Night Heron,13
US-CA,Snowy Egret,14
US-CA,Great Blue Heron,15
US-CA,Brown Pelican,16
US-CA,Black Phoebe,17
US-CA,American Crow,18
US-CA,Barn Swallow,19
US-CA,swallow sp.,20
US-CA,European Starling,21
US-CA,House Finch,22
US-CA,White-crowned Sparrow,23
US-CA,Savannah Sparrow,24
US-CA,Song Sparrow,25
US-CA,California Towhee,26
US-CA,Red-winged Blackbird,27
US-CA,Orange-crowned Warbler,28
US-CA,Canada Goose,29
US-CA,Mallard,30
US-CA,Rock Pigeon,31
US-CA,American Avocet,32
US-CA,Black-bellied Plover,33
US-CA,Killdeer,34
US-CA,Long-billed Curlew,35
US-CA,Marbled Godwit,36
US-CA,Tree Swallow,37
US-CA,Cliff Swallow,38
US-CA,Bushtit,39
US-CA,Northern Mockingbird,40
US-CA,House Sparrow,41
US-CA,Spotted Towhee,42
US-CA,Brown-headed Cowbird,43
US-HI,Hawaiian Goose,1
US-HI,Red Junglefowl (Domestic type),2
US-HI,Spotted Dove,3
US-HI,Zebra Dove,4
US-HI,Pacific Golden-Plover,5
US-HI,Western Cattle-Egret,6
US-HI,Warbling White-eye,7
US-HI,Common Myna,8
US-HI,White-rumped Shama,9
US-HI,House Sparrow,10
US-HI,House Finch,11
US-HI,Northern Cardinal,12
US-HI,Red-crested Cardinal,13
US-HI,Scaly-breasted Munia,14
US-HI,Java Sparrow,15
US-HI,Rock Pigeon (Feral Pigeon),16
US-HI,Red-tailed Tropicbird,17
US-HI,Laysan Albatross,18
US-HI,Wedge-tailed Shearwater,19
US-HI,Red-footed Booby,20
US-HI,Common Gallinule,21
US-HI,White-tailed Tropicbird,22
US-HI,Chestnut Munia,23
US-HI,Black-necked Stilt,24
US-HI,American Barn Owl,25
US-HI,Hawaiian Duck,26
US-HI,Hawaiian Coot,27
US-HI,Wandering Tattler,28
US-HI,Ruddy Turnstone,29
US-HI,Sanderling,30
US-HI,Dunlin,31
US-HI,Great Frigatebird,32
US-HI,Black-crowned Night Heron,33
US-HI,Northern Mockingbird,34
US-HI,Rose-ringed Parakeet,35
US-HI,Brown Booby,36
US-HI,Saffron Finch,37
US-HI,Erckel's Spurfowl,38
US-OR,Canada Jay,1
US-OR,Clark's Nutcracker,2
US-OR,Cassin's Finch,3
US-OR,Western Tanager,4
US-OR,Mallard,5
US-OR,California Quail,6
US-OR,White-throated Swift,7
US-OR,Turkey Vulture,8
US-OR,Osprey,9
US-OR,Red-tailed Hawk,10
US-OR,Say's Phoebe,11
US-OR,Western Kingbird,12
US-OR,Violet-green Swallow,13
US-OR,American Robin,14
US-OR,Evening Grosbeak,15
US-OR,Pine Siskin,16
US-OR,Bullock's Oriole,17
US-OR,Lazuli Bunting,18
